Id,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
62,21,2015-07-26,109.5,Sèvres,Paris,Flat stage,André Greipel,GER
63,1,2014-07-05,190.5,Leeds,Harrogate,Flat stage,Marcel Kittel,GER
64,2,2014-07-06,201.0,York,Sheffield,Mountain stage,Vincenzo Nibali,ITA
65,3,2014-07-07,155.0,Cambridge,London,Flat stage,Marcel Kittel,GER
66,4,2014-07-08,163.5,Le Touquet-Paris-Plage,Lille Metropole,Flat stage,Marcel Kittel,GER
67,5,2014-07-09,152.5,Ypres,Arenberg Porte du Hainaut,Mountain stage,Lars Boom,NED
68,6,2014-07-10,194.0,Arras,Reims,Flat stage,André Greipel,GER
69,7,2014-07-11,234.5,Épernay,Nancy,Flat stage,Matteo Trentin,ITA
70,8,2014-07-12,161.0,Tomblaine,Gérardmer La Mauselaine,Mountain stage,Blel Kadri,FRA
71,9,2014-07-13,170.0,Gérardmer,Mulhouse,Mountain stage,Tony Martin,GER
72,10,2014-07-14,161.5,Mulhouse,La Planche des Belles Filles,High mountain stage,Vincenzo Nibali,ITA
73,11,2014-07-16,187.5,Besançon,Oyonnax,Mountain stage,Tony Gallopin,FRA
74,12,2014-07-17,185.5,Bourg-en-Bresse,Saint-Étienne,Flat stage,Alexander Kristoff,NOR
75,13,2014-07-18,197.5,Saint-Étienne,Chamrousse,High mountain stage,Vincenzo Nibali,ITA
76,14,2014-07-19,177.0,Grenoble,Risoul,High mountain stage,Rafał Majka,POL
77,15,2014-07-20,222.0,Tallard,Nîmes,Flat stage,Alexander Kristoff,NOR
78,16,2014-07-22,237.5,Carcassonne,Bagnères-de-Luchon,High mountain stage,Michael Rogers,AUS
79,17,2014-07-23,124.5,Saint-Gaudens,Saint-Lary Pla d’Adet,High mountain stage,Rafał Majka,POL
80,18,2014-07-24,145.5,Pau,Hautacam,High mountain stage,Vincenzo Nibali,ITA
81,19,2014-07-25,208.5,Maubourguet Pays du Val d’Adour,Bergerac,Flat stage,Ramūnas Navardauskas,LTU
82,20,2014-07-26,54.0,Bergerac,Périgueux,Individual time trial,Tony Martin,GER
83,21,2014-07-27,137.5,Évry,Paris,Flat stage,Marcel Kittel,GER
84,1,2013-06-29,213.0,Porto-Vecchio,Bastia,Flat stage,Marcel Kittel,GER
85,2,2013-06-30,156.0,Bastia,Ajaccio,Mountain stage,Jan Bakelants,BEL
86,3,2013-07-01,145.5,Ajaccio,Calvi,Mountain stage,Simon Gerrans,AUS
87,4,2013-07-02,25.0,Nice,Nice,Team time trial,Orica–GreenEDGE,
88,5,2013-07-03,228.5,Cagnes-sur-Mer,Marseille,Flat stage,Mark Cavendish,GBR
89,6,2013-07-04,176.5,Aix-en-Provence,Montpellier,Flat stage,André Greipel,GER
90,7,2013-07-05,205.5,Montpellier,Albi,Flat stage,Peter Sagan,SVK
91,8,2013-07-06,195.0,Castres,Ax 3 Domaines,High mountain stage,Chris Froome,GBR
92,9,2013-07-07,168.5,Saint-Girons,Bagnères-de-Bigorre,High mountain stage,Dan Martin,IRL
93,10,2013-07-09,197.0,Saint-Gildas-des-Bois,Saint-Malo,Flat stage,Marcel Kittel,GER
94,11,2013-07-10,33.0,Avranches,Mont Saint-Michel,Individual time trial,Tony Martin,GER
95,12,2013-07-11,218.0,Fougères,Tours,Flat stage,Marcel Kittel,GER
96,13,2013-07-12,173.0,Tours,Saint-Amand-Montrond,Flat stage,Mark Cavendish,GBR
97,14,2013-07-13,191.0,Saint-Pourçain-sur-Sioule,Lyon,Mountain stage,Matteo Trentin,ITA
98,15,2013-07-14,242.5,Givors,Mont Ventoux,High mountain stage,Chris Froome,GBR
99,16,2013-07-16,168.0,Vaison-la-Romaine,Gap,High mountain stage,Rui Costa,POR
100,17,2013-07-17,32.0,Embrun,Chorges,Individual time trial,Chris Froome,GBR
101,18,2013-07-18,172.5,Gap,Alpe d'Huez,High mountain stage,Christophe Riblon,FRA
102,19,2013-07-19,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,High mountain stage,Rui Costa,POR
103,20,2013-07-20,125.0,Annecy,Semnoz,High mountain stage,Nairo Quintana,COL
104,21,2013-07-21,133.5,Versailles,Paris,Flat stage,Marcel Kittel,GER
105,P,2012-06-30,6.4,Liège,Liège,Individual time trial,Fabian Cancellara,SUI
106,1,2012-07-01,198.0,Liège,Seraing,Flat stage,Peter Sagan,SVK
107,2,2012-07-02,207.5,Visé,Tournai,Flat stage,Mark Cavendish,GBR
108,3,2012-07-03,197.0,Orchies,Boulogne-sur-Mer,Mountain stage,Peter Sagan,SVK
109,4,2012-07-04,214.5,Abbeville,Rouen,Flat stage,André Greipel,GER
110,5,2012-07-05,196.5,Rouen,Saint-Quentin,Flat stage,André Greipel,GER
111,6,2012-07-06,207.5,Épernay,Metz,Flat stage,Peter Sagan,SVK
112,7,2012-07-07,199.0,Tomblaine,La Planche des Belles Filles,Mountain stage,Chris Froome,GBR
113,8,2012-07-08,157.5,Belfort,Porrentruy,Mountain stage,Thibaut Pinot,FRA
114,9,2012-07-09,41.5,Arc-et-Senans,Besançon,Individual time trial,Bradley Wiggins,GBR
115,10,2012-07-11,194.5,Mâcon,Bellegarde-sur-Valserine,High mountain stage,Thomas Voeckler,FRA
116,11,2012-07-12,148.0,Albertville,La Toussuire-Les Sybelles,High mountain stage,Pierre Rolland,FRA
117,12,2012-07-13,226.0,Saint-Jean-de-Maurienne,Annonay-Davézieux,Mountain stage,David Millar,GBR
118,13,2012-07-14,217.0,Saint-Paul-Trois-Châteaux,Cap d'Agde,Flat stage,André Greipel,GER
119,14,2012-07-15,191.0,Limoux,Foix,High mountain stage,Luis León Sánchez,ESP
120,15,2012-07-16,158.5,Samatan,Pau,Flat stage,Pierrick Fédrigo,FRA
121,16,2012-07-18,197.0,Pau,Bagnères-de-Luchon,High mountain stage,Thomas Voeckler,FRA
122,17,2012-07-19,143.5,Bagnères-de-Luchon,Peyragudes,High mountain stage,Alejandro Valverde,ESP
123,18,2012-07-20,222.5,Blagnac,Brive-la-Gaillarde,Flat stage,Mark Cavendish,GBR
124,19,2012-07-21,53.5,Bonneval,Chartres,Individual time trial,Bradley Wiggins,GBR
125,20,2012-07-22,120.0,Rambouillet,Paris,Flat stage,Mark Cavendish,GBR
126,1,2011-07-02,191.5,Passage du Gois,Mont des Alouettes,Flat stage,Philippe Gilbert,BEL
127,2,2011-07-03,23.0,Les Essarts,Les Essarts,Team time trial,Garmin–Cervélo,
128,3,2011-07-04,198.0,Olonne-sur-Mer,Redon,Flat stage,Tyler Farrar,USA
129,4,2011-07-05,172.5,Lorient,Mûr-de-Bretagne,Flat stage,Cadel Evans,AUS
130,5,2011-07-06,164.5,Carhaix,Cap Fréhel,Flat stage,Mark Cavendish,GBR
131,6,2011-07-07,226.5,Dinan,Lisieux,Flat stage,Edvald Boasson Hagen,NOR
132,7,2011-07-08,218.0,Le Mans,Châteauroux,Flat stage,Mark Cavendish,GBR
133,8,2011-07-09,189.0,Aigurande,Super Besse,Mountain stage,Rui Costa,POR
134,9,2011-07-10,208.0,Issoire,Saint-Flour,Mountain stage,Luis León Sánchez,ESP
135,10,2011-07-12,158.0,Aurillac,Carmaux,Flat stage,André Greipel,GER
136,11,2011-07-13,167.5,Blaye-les-Mines,Lavaur,Flat stage,Mark Cavendish,GBR
137,12,2011-07-14,211.0,Cugnaux,Luz Ardiden,High mountain stage,Samuel Sánchez,ESP
138,13,2011-07-15,152.5,Pau,Lourdes,High mountain stage,Thor Hushovd,NOR
139,14,2011-07-16,168.5,Saint-Gaudens,Plateau de Beille,High mountain stage,Jelle Vanendert,BEL
140,15,2011-07-17,192.5,Limoux,Montpellier,Flat stage,Mark Cavendish,GBR
141,16,2011-07-19,162.5,Saint-Paul-Trois-Châteaux,Gap,Mountain stage,Thor Hushovd,NOR
142,17,2011-07-20,179.0,Gap,Pinerolo,High mountain stage,Edvald Boasson Hagen,NOR
143,18,2011-07-21,200.5,Pinerolo,Col du Galibier-Serre Chevalier,High mountain stage,Andy Schleck,LUX
144,19,2011-07-22,109.5,Modane,Alpe d'Huez,High mountain stage,Pierre Rolland,FRA
145,20,2011-07-23,42.5,Grenoble,Grenoble,Individual time trial,Tony Martin,GER
146,21,2011-07-24,95.0,Créteil,Paris,Flat stage,Mark Cavendish,GBR
147,P,2010-07-03,8.9,Rotterdam,Rotterdam,Individual time trial,Fabian Cancellara,SUI
148,1,2010-07-04,223.5,Rotterdam,Brussels,Flat stage,Alessandro Petacchi,ITA
149,2,2010-07-05,201.0,Brussels,Spa,Flat stage,Sylvain Chavanel,FRA
150,3,2010-07-06,213.0,Wanze,Arenberg Porte du Hainaut,Flat stage,Thor Hushovd,NOR
151,4,2010-07-07,153.5,Cambrai,Reims,Flat stage,Alessandro Petacchi,ITA
152,5,2010-07-08,187.5,Épernay,Montargis,Flat stage,Mark Cavendish,GBR
153,6,2010-07-09,227.5,Montargis,Gueugnon,Flat stage,Mark Cavendish,GBR
154,7,2010-07-10,165.5,Tournus,Station des Rousses,Mountain stage,Sylvain Chavanel,FRA
155,8,2010-07-11,189.0,Station des Rousses,Morzine-Avoriaz,Mountain stage,Andy Schleck,LUX
156,9,2010-07-13,204.5,Morzine-Avoriaz,Saint-Jean-de-Maurienne,Mountain stage,Sandy Casar,FRA
157,10,2010-07-14,179.0,Chambéry,Gap,Mountain stage,Sérgio Paulinho,POR
158,11,2010-07-15,184.5,Sisteron,Bourg-lès-Valence,Flat stage,Mark Cavendish,GBR
159,12,2010-07-16,210.5,Bourg-de-Péage,Mende,Mountain stage,Joaquim Rodríguez,ESP
160,13,2010-07-17,196.0,Rodez,Revel,Flat stage,Alexander Vinokourov,KAZ
161,14,2010-07-18,184.5,Revel,Ax 3 Domaines,Mountain stage,Christophe Riblon,FRA
162,15,2010-07-19,187.5,Pamiers,Bagnères-de-Luchon,Mountain stage,Thomas Voeckler,FRA
163,16,2010-07-20,199.5,Bagnères-de-Luchon,Pau,Mountain stage,Pierrick Fédrigo,FRA
164,17,2010-07-22,174.0,Pau,Col du Tourmalet,Mountain stage,Andy Schleck,LUX
165,18,2010-07-23,198.0,Salies-de-Béarn,Bordeaux,Flat stage,Mark Cavendish,GBR
166,19,2010-07-24,52.0,Bordeaux,Pauillac,Individual time trial,Fabian Cancellara,SUI
167,20,2010-07-25,102.5,Longjumeau,Paris,Flat stage,Mark Cavendish,GBR
168,1,2009-07-04,15.5,Monaco,Monaco,Individual time trial,Fabian Cancellara,SUI
169,2,2009-07-05,187.0,Monaco,Brignoles,Flat stage,Mark Cavendish,GBR
170,3,2009-07-06,196.5,Marseille,La Grande-Motte,Flat stage,Mark Cavendish,GBR
171,4,2009-07-07,39.0,Montpellier,Montpellier,Team time trial,Astana,
172,5,2009-07-08,196.5,Cap d'Agde,Perpignan,Flat stage,Thomas Voeckler,FRA
173,6,2009-07-09,181.5,Girona,Barcelona,Flat stage,Thor Hushovd,NOR
174,7,2009-07-10,224.0,Barcelona,Andorra-Arcalis,Mountain stage,Brice Feillu,FRA
175,8,2009-07-11,176.5,Andorra la Vella,Saint-Girons,Mountain stage,Luis León Sánchez,ESP
176,9,2009-07-12,160.5,Saint-Gaudens,Tarbes,Mountain stage,Pierrick Fédrigo,FRA
177,10,2009-07-14,194.5,Limoges,Issoudun,Flat stage,Mark Cavendish,GBR
178,11,2009-07-15,192.0,Vatan,Saint-Fargeau,Flat stage,Mark Cavendish,GBR
179,12,2009-07-16,211.5,Tonnerre,Vittel,Flat stage,Nicki Sørensen,DEN
180,13,2009-07-17,200.0,Vittel,Colmar,Mountain stage,Heinrich Haussler,GER
181,14,2009-07-18,199.0,Colmar,Besançon,Flat stage,Sergei Ivanov,RUS
182,15,2009-07-19,207.5,Pontarlier,Verbier,Mountain stage,Alberto Contador,ESP
183,16,2009-07-21,159.0,Martigny,Bourg-Saint-Maurice,Mountain stage,Sandy Casar,FRA
184,17,2009-07-22,169.5,Bourg-Saint-Maurice,Le Grand-Bornand,Mountain stage,Fränk Schleck,LUX
185,18,2009-07-23,40.5,Annecy,Annecy,Individual time trial,Alberto Contador,ESP
186,19,2009-07-24,178.0,Bourgoin-Jallieu,Aubenas,Flat stage,Mark Cavendish,GBR
187,20,2009-07-25,167.0,Montélimar,Mont Ventoux,Mountain stage,Juan Manuel Gárate,ESP
188,21,2009-07-26,164.0,Montereau-Fault-Yonne,Paris,Flat stage,Mark Cavendish,GBR
189,1,2008-07-05,197.5,Brest,Plumelec,Flat stage,Alejandro Valverde,ESP
190,2,2008-07-06,164.5,Auray,Saint-Brieuc,Flat stage,Thor Hushovd,NOR
191,3,2008-07-07,208.0,Saint-Malo,Nantes,Flat stage,Samuel Dumoulin,FRA
192,4,2008-07-08,29.5,Cholet,Cholet,Individual time trial,Kim Kirchen,LUX
193,5,2008-07-09,232.0,Cholet,Châteauroux,Flat stage,Mark Cavendish,GBR
194,6,2008-07-10,195.5,Aigurande,Super-Besse Sancy,Hilly stage,Alejandro Valverde,ESP
195,7,2008-07-11,159.0,Brioude,Aurillac,Hilly stage,Luis León Sánchez,ESP
196,8,2008-07-12,172.5,Figeac,Toulouse,Flat stage,Mark Cavendish,GBR
197,9,2008-07-13,224.0,Toulouse,Bagnères-de-Bigorre,Mountain stage,Vladimir Efimkin,RUS
198,10,2008-07-14,156.0,Pau,Hautacam,Mountain stage,Juan José Cobo,ESP
199,11,2008-07-16,167.5,Lannemezan,Foix,Hilly stage,Kurt Asle Arvesen,NOR
200,12,2008-07-17,168.5,Lavelanet,Narbonne,Flat stage,Mark Cavendish,GBR
201,13,2008-07-18,182.0,Narbonne,Nîmes,Flat stage,Mark Cavendish,GBR
202,14,2008-07-19,194.5,Nîmes,Digne-les-Bains,Flat stage,Óscar Freire,ESP
203,15,2008-07-20,183.0,Embrun,Prato Nevoso,Mountain stage,Simon Gerrans,AUS
204,16,2008-07-22,157.0,Cuneo,Jausiers,Mountain stage,Cyril Dessel,FRA
205,17,2008-07-23,210.5,Embrun,Alpe d'Huez,Mountain stage,Carlos Sastre,ESP
206,18,2008-07-24,196.5,Bourg-d'Oisans,Saint-Étienne,Hilly stage,Marcus Burghardt,GER
207,19,2008-07-25,165.5,Roanne,Montluçon,Flat stage,Sylvain Chavanel,FRA
208,20,2008-07-26,53.0,Cérilly,Saint-Amand-Montrond,Individual time trial,Fabian Cancellara,SUI
209,21,2008-07-27,143.0,Étampes,Paris,Flat stage,Gert Steegmans,BEL
210,P,2007-07-07,7.9,London,London,Individual time trial,Fabian Cancellara,SUI
211,1,2007-07-08,203.0,London,Canterbury,Flat stage,Robbie McEwen,AUS
212,2,2007-07-09,168.5,Dunkirk,Ghent,Flat stage,Gert Steegmans,BEL
213,3,2007-07-10,236.5,Waregem - Compiègne,Waregem - Compiègne,Flat stage,Fabian Cancellara,SUI
214,4,2007-07-11,193.0,Villers-Cotterêts,Joigny,Flat stage,Thor Hushovd,NOR
215,5,2007-07-12,182.5,Chablis,Autun,Hilly stage,Filippo Pozzato,ITA
216,6,2007-07-13,199.5,Semur-en-Auxois,Bourg-en-Bresse,Flat stage,Tom Boonen,BEL
217,7,2007-07-14,197.5,Bourg-en-Bresse,Le Grand-Bornand,Mountain stage,Linus Gerdemann,GER
218,8,2007-07-15,165.0,Le Grand-Bornand,Tignes,Mountain stage,Michael Rasmussen,DEN
219,9,2007-07-17,159.5,Val-d'Isère,Briançon,Mountain stage,Mauricio Soler,COL
220,10,2007-07-18,229.5,Tallard,Marseille,Flat stage,Cédric Vasseur,FRA
221,11,2007-07-19,182.5,Marseille,Montpellier,Flat stage,Robert Hunter,RSA
222,12,2007-07-20,178.5,Montpellier,Castres,Hilly stage,Tom Boonen,BEL
223,13,2007-07-21,54.0,Albi,Albi,Individual time trial,Cadel Evans[n 1],AUS
224,14,2007-07-22,197.0,Mazamet,Plateau-de-Beille,Mountain stage,Alberto Contador,ESP
225,15,2007-07-23,196.0,Foix,Loudenvielle,Mountain stage,Kim Kirchen[n 1],LUX
226,16,2007-07-25,218.5,Orthez,Gourette–Col d'Aubisque,Mountain stage,Michael Rasmussen,DEN
227,17,2007-07-26,188.5,Pau,Castelsarrasin,Hilly stage,Daniele Bennati,ITA
228,18,2007-07-27,211.0,Cahors,Angoulême,Flat stage,Sandy Casar,FRA
229,19,2007-07-28,55.5,Cognac,Angoulême,Individual time trial,Levi Leipheimer,USA
230,20,2007-07-29,146.0,Marcoussis,Paris,Flat stage,Daniele Bennati,ITA
231,P,2006-07-01,7.1,Strasbourg,Strasbourg,Individual time trial,Thor Hushovd,NOR
232,1,2006-07-02,184.5,Strasbourg,Strasbourg,Flat stage,Jimmy Casper,FRA
233,2,2006-07-03,228.5,Obernai,Esch-sur-Alzette,Flat stage,Robbie McEwen,AUS
234,3,2006-07-04,216.5,Esch-sur-Alzette,Valkenburg,Hilly stage,Matthias Kessler,GER
235,4,2006-07-05,207.0,Huy,Saint-Quentin,Flat stage,Robbie McEwen,AUS
236,5,2006-07-06,225.0,Beauvais,Caen,Flat stage,Óscar Freire,ESP
237,6,2006-07-07,189.0,Lisieux,Vitré,Flat stage,Robbie McEwen,AUS
238,7,2006-07-08,52.0,Saint Grégoire,Rennes,Individual time trial,Serhiy Honchar,UKR
239,8,2006-07-09,181.0,Saint-Méen-le-Grand,Lorient,Flat stage,Sylvain Calzati,FRA
240,9,2006-07-11,169.5,Bordeaux,Dax,Flat stage,Óscar Freire,ESP
241,10,2006-07-12,190.5,Cambo-les-Bains,Pau,Mountain stage,Juan Miguel Mercado,ESP
242,11,2006-07-13,206.5,Tarbes,Val d'Aran/Pla-de-Beret,Mountain stage,Denis Menchov,RUS
243,12,2006-07-14,211.5,Luchon,Carcassonne,Hilly stage,Yaroslav Popovych,UKR
244,13,2006-07-15,230.0,Béziers,Montélimar,Flat stage,Jens Voigt,GER
245,14,2006-07-16,180.5,Montélimar,Gap,Hilly stage,Pierrick Fédrigo,FRA
246,15,2006-07-18,187.0,Gap,Alpe d'Huez,Mountain stage,Fränk Schleck,LUX
247,16,2006-07-19,182.0,Le Bourg-d'Oisans,La Toussuire,Mountain stage,Michael Rasmussen,DEN
248,17,2006-07-20,200.5,Saint-Jean-de-Maurienne,Morzine,Mountain stage,Carlos Sastre,ESP
249,18,2006-07-21,197.0,Morzine,Mâcon,Flat stage,Matteo Tosatto,ITA
250,19,2006-07-22,57.0,Le Creusot,Montceau-les-Mines,Individual time trial,Serhiy Honchar,UKR
251,20,2006-07-23,154.5,Antony/Parc de Sceaux,Paris,Flat stage,Thor Hushovd,NOR
252,1,2005-07-02,19.0,Fromentine,Noirmoutier-en-l'Île,Individual time trial,David Zabriskie,USA
253,2,2005-07-03,181.5,Challans,Les Essarts,Flat stage,Tom Boonen,BEL
254,3,2005-07-04,212.5,La Châtaigneraie,Tours,Flat stage,Tom Boonen,BEL
255,4,2005-07-05,67.5,Tours,Blois,Team time trial,Discovery Channel,
256,5,2005-07-06,183.0,Chambord,Montargis,Flat stage,Robbie McEwen,AUS
257,6,2005-07-07,199.0,Troyes,Nancy,Flat stage,Lorenzo Bernucci,ITA
258,7,2005-07-08,228.5,Lunéville,Karlsruhe,Flat stage,Robbie McEwen,AUS
259,8,2005-07-09,231.5,Pforzheim,Gérardmer,Hilly stage,Pieter Weening,NED
260,9,2005-07-10,171.0,Gérardmer,Mulhouse,Hilly stage,Michael Rasmussen,DEN
261,10,2005-07-12,177.0,Grenoble,Courchevel,Mountain stage,Alejandro Valverde,ESP
262,11,2005-07-13,173.0,Courchevel,Briançon,Mountain stage,Alexander Vinokourov,KAZ
263,12,2005-07-14,187.0,Briançon,Digne-les-Bains,Hilly stage,David Moncoutié,FRA
264,13,2005-07-15,173.5,Miramas,Montpellier,Flat stage,Robbie McEwen,AUS
265,14,2005-07-16,220.5,Agde,Ax 3 Domaines,Mountain stage,Georg Totschnig,AUT
266,15,2005-07-17,205.5,Lézat-sur-Lèze,Saint-Lary-Soulan Pla d'Adet,Mountain stage,George Hincapie,USA
267,16,2005-07-19,180.5,Mourenx,Pau,Mountain stage,Óscar Pereiro,ESP
268,17,2005-07-20,239.5,Pau,Revel,Flat stage,Paolo Savoldelli,ITA
269,18,2005-07-21,189.0,Albi,Mende,Hilly stage,Marcos Antonio Serrano,ESP
270,19,2005-07-22,153.5,Issoire,Le Puy-en-Velay,Hilly stage,Giuseppe Guerini,ITA
271,20,2005-07-23,55.5,Saint-Étienne,Saint-Étienne,Individual time trial,Lance Armstrong[n 1],USA
272,21,2005-07-24,144.5,Corbeil-Essonnes,Paris,Flat stage,Alexander Vinokourov,KAZ
273,P,2004-07-03,6.1,Liège,Liège,Individual time trial,Fabian Cancellara,SUI
274,1,2004-07-04,202.5,Liège,Charleroi,Flat stage,Jaan Kirsipuu,EST
275,2,2004-07-05,197.0,Charleroi,Namur,Flat stage,Robbie McEwen,AUS
276,3,2004-07-06,210.0,Waterloo,Wasquehal,Flat stage,Jean-Patrick Nazon,FRA
277,4,2004-07-07,64.5,Cambrai,Arras,Team time trial,U.S. Postal Service,USA
278,5,2004-07-08,200.5,Amiens,Chartres,Flat stage,Stuart O'Grady,AUS
279,6,2004-07-09,196.0,Bonneval,Angers,Flat stage,Tom Boonen,BEL
280,7,2004-07-10,204.5,Châteaubriant,Saint-Brieuc,Flat stage,Filippo Pozzato,ITA
281,8,2004-07-11,168.0,Lamballe,Quimper,Flat stage,Thor Hushovd,NOR
282,9,2004-07-13,160.5,Saint-Léonard-de-Noblat,Guéret,Flat stage,Robbie McEwen,AUS
283,10,2004-07-14,237.0,Limoges,Saint-Flour,Hilly stage,Richard Virenque,FRA
284,11,2004-07-15,164.0,Saint-Flour,Figeac,Hilly stage,David Moncoutié,FRA
